Source,Call
data_profiler.generate_report,data_profiler.self._generate_csv_report
data_profiler.generate_report,data_profiler.ValueError
data_profiler.generate_report,data_profiler.format
data_profiler._generate_markdown_report,data_profiler.items
data_profiler._generate_markdown_report,data_profiler.items
data_profiler._generate_markdown_report,data_profiler.items
data_profiler._generate_markdown_report,data_profiler.analysis.items
data_profiler._generate_markdown_report,data_profiler.profile.items
data_profiler._generate_markdown_report,data_profiler.int
data_profiler._generate_markdown_report,data_profiler.int
data_transform.validate_columns,data_transform.ValueError
data_transform.handle_nulls,data_transform.column_strategies.items
data_transform.handle_nulls,data_transform.DataTransform.validate_columns
data_transform.handle_nulls,data_transform.df.dropna
data_transform.handle_nulls,data_transform.fillna
data_transform.handle_nulls,data_transform.df.fillna
data_transform.handle_nulls,data_transform.median
data_transform.handle_nulls,data_transform.fillna
data_transform.handle_nulls,data_transform.mode
data_transform.convert_dates,data_transform.DataTransform.validate_columns
data_transform.convert_dates,pandas.to_datetime
data_transform.anonymize_columns,data_transform.DataTransform.validate_columns
data_transform.anonymize_columns,data_transform.apply
data_transform.anonymize_columns,pandas.notnull
data_transform.anonymize_columns,data_transform.hash
data_transform.join_datasets,data_transform.df1.merge
data_transform.handle_nulls_with_log,data_transform.DataTransform.handle_nulls
data_transform.handle_nulls_with_log,data_transform.log.append
etl-data_from_pdf.extract_text_from_pdf,pdfplumber.open
etl-data_from_pdf.extract_text_from_pdf,etl-data_from_pdf.page.extract_text
etl-data_from_pdf.parse_pdf_text,re.search.group.strip
etl-data_from_pdf.parse_pdf_text,re.search.group.strip
etl-data_from_pdf.parse_pdf_text,re.finditer
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.line_items.append
etl-data_from_pdf.parse_pdf_text,re.search.group
etl-data_from_pdf.parse_pdf_text,re.search.group
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.match.group
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.match.group
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.int
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.float
etl-data_from_pdf.parse_pdf_text,re.search
etl-data_from_pdf.parse_pdf_text,re.search
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.match.group
etl-data_from_pdf.parse_pdf_text,etl-data_from_pdf.match.group
etl-data_from_pdf.save_data,etl-data_from_pdf.open
etl-data_from_pdf.save_data,json.dump
etl-data_from_pdf.save_data,pandas.DataFrame
etl-data_from_pdf.save_data,etl-data_from_pdf.df.to_csv
pipeline.load_csv_files,os.path.basename.replace
